step,epoch,scene,view,roi_scope,pan_reference,d_lambda,d_s,hqnr,fscc,dy_hr,dx_hr,delta_norm_hr,selection_eligible,invalid_reason,roi_hash
1010,5,0,raw_original,original,P,0.04019826921806491,0.05905823387004253,0.903117535696544,0.9472924478358848,0.2037854939699173,-0.3130558729171753,0.3735404908657074,True,,b5979ef01aa92480
1010,5,0,raw_valid,selection_fixed_V,P,0.0365003392504859,0.06058194180727341,0.9051289803706594,0.9461802859661509,0.2037854939699173,-0.3130558729171753,0.3735404908657074,True,,b5979ef01aa92480
1010,5,0,aligned_valid,selection_fixed_V,P_aligned,0.0365003392504859,0.06162604553478786,0.9041229867834119,0.9683197752998107,0.2037854939699173,-0.3130558729171753,0.3735404908657074,True,,b5979ef01aa92480
1010,5,0,aligned_fixed_v64,selection_fixed_V,P_aligned_fixed_donor,0.0365003392504859,0.05373596372075453,0.911725077934519,0.9641094741439564,0.4259839653968811,-0.24677230417728424,0.49229961292308294,True,,b5979ef01aa92480
1010,5,1,raw_original,original,P,0.05275161971272302,0.07678638780079952,0.874512598814859,0.9459136233425411,0.21985025703907013,-0.3166278600692749,0.38547027111053467,True,,b5979ef01aa92480
1010,5,1,raw_valid,selection_fixed_V,P,0.0475558766640245,0.08698627133274546,0.8695945603941934,0.9418138337401066,0.21985025703907013,-0.3166278600692749,0.38547027111053467,True,,b5979ef01aa92480
1010,5,1,aligned_valid,selection_fixed_V,P_aligned,0.0475558766640245,0.08721191672238734,0.8693796457688712,0.9638363312502642,0.21985025703907013,-0.3166278600692749,0.38547027111053467,True,,b5979ef01aa92480
1010,5,1,aligned_fixed_v64,selection_fixed_V,P_aligned_fixed_donor,0.0475558766640245,0.07605557826167234,0.8800054347737264,0.9586514806040242,0.4320302903652191,-0.22259701788425446,0.4860037079735284,True,,b5979ef01aa92480
1010,5,2,raw_original,original,P,0.0530375750212666,0.09748955279622883,0.8546434816527243,0.966630371048407,0.2471342533826828,-0.2988806664943695,0.3878208100795746,True,,b5979ef01aa92480
1010,5,2,raw_valid,selection_fixed_V,P,0.048915932236119564,0.09602986459244754,0.8597515935204808,0.9659357922279902,0.2471342533826828,-0.2988806664943695,0.3878208100795746,True,,b5979ef01aa92480
