step,epoch,kind,bin,n,e_T_mean,e_S_mean,delta_e_T_minus_S,win_rate_vs_teacher,q50,q90,bin_source
4040,20,stat_grad_var_w5,Q0-50,625000,8.278033783426508e-05,0.00010612558253342286,-2.3345235604210757e-05,0.39987680315971375,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
4040,20,stat_grad_var_w5,Q50-90,500000,0.00048131486983038485,0.0005818920908495784,-0.00010057719191536307,0.31832799315452576,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
4040,20,stat_grad_var_w5,Q90-100,125000,0.0021235141903162003,0.00255683995783329,-0.0004333258548285812,0.3095119893550873,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
4040,20,stat_grad_var_w5,ALL,1250000,0.00044626754242926836,0.0005415035993792117,-9.523608605377376e-05,0.35822078585624695,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
5050,25,pixel,Q0-50,655360,0.005855037365108728,0.0071178823709487915,-0.0012628454715013504,0.311981201171875,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
5050,25,pixel,Q50-90,524288,0.017983241006731987,0.019795507192611694,-0.001812266418710351,0.3971366882324219,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
5050,25,pixel,Q90-100,131072,0.0472235344350338,0.05005853995680809,-0.002835005521774292,0.4379119873046875,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
5050,25,pixel,ALL,1310720,0.014843168668448925,0.016482997685670853,-0.0016398295992985368,0.3586364686489105,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
5050,25,stat_grad_var_w5,Q0-50,625000,8.278033783426508e-05,0.00010061266220873222,-1.783231709850952e-05,0.4600335955619812,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
5050,25,stat_grad_var_w5,Q50-90,500000,0.00048131486983038485,0.000540529319550842,-5.921442061662674e-05,0.4026679992675781,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
5050,25,stat_grad_var_w5,Q90-100,125000,0.0021235141903162003,0.002384081482887268,-0.000260567496297881,0.3946959972381592,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
5050,25,stat_grad_var_w5,ALL,1250000,0.00044626754242926836,0.0005049261962994933,-5.86586793360766e-05,0.4305535852909088,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
6060,30,pixel,Q0-50,655360,0.005855037365108728,0.006732858717441559,-0.0008778214687481523,0.357870489358902,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
6060,30,pixel,Q50-90,524288,0.017983241006731987,0.01926138997077942,-0.0012781515251845121,0.42168617248535156,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
6060,30,pixel,Q90-100,131072,0.0472235344350338,0.04934878647327423,-0.0021252490114420652,0.4530487060546875,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
6060,30,pixel,ALL,1310720,0.014843168668448925,0.016005864366889,-0.001162696280516684,0.3929145932197571,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
6060,30,stat_grad_var_w5,Q0-50,625000,8.278033783426508e-05,0.00010530182771617547,-2.2521500795846805e-05,0.40881600975990295,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
6060,30,stat_grad_var_w5,Q50-90,500000,0.00048131486983038485,0.0005462760454975069,-6.496120477095246e-05,0.36037200689315796,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
6060,30,stat_grad_var_w5,Q90-100,125000,0.0021235141903162003,0.002341265557333827,-0.0002177518035750836,0.4004560112953186,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
6060,30,stat_grad_var_w5,ALL,1250000,0.00044626754242926836,0.0005052879569120705,-5.9020410844823346e-05,0.3886024057865143,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
7070,35,pixel,Q0-50,655360,0.005855037365108728,0.00669179018586874,-0.0008367534028366208,0.358071893453598,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
7070,35,pixel,Q50-90,524288,0.017983241006731987,0.019034631550312042,-0.0010513912420719862,0.43142127990722656,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
7070,35,pixel,Q90-100,131072,0.0472235344350338,0.04885629564523697,-0.0016327572520822287,0.46230316162109375,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
7070,35,pixel,ALL,1310720,0.014843168668448925,0.01584537699818611,-0.0010022089118137956,0.39783477783203125,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
7070,35,stat_grad_var_w5,Q0-50,625000,8.278033783426508e-05,0.00010321739682694897,-2.0437053535715677e-05,0.40010079741477966,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
7070,35,stat_grad_var_w5,Q50-90,500000,0.00048131486983038485,0.0005478094681166112,-6.649454735452309e-05,0.33168599009513855,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
7070,35,stat_grad_var_w5,Q90-100,125000,0.0021235141903162003,0.002362910658121109,-0.00023939648235682398,0.3505679965019226,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
7070,35,stat_grad_var_w5,ALL,1250000,0.00044626754242926836,0.0005070235347375274,-6.0755999584216624e-05,0.3677816092967987,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
8080,40,pixel,Q0-50,655360,0.005855037365108728,0.006699199788272381,-0.0008441625977866352,0.3322036862373352,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
8080,40,pixel,Q50-90,524288,0.017983241006731987,0.019053373485803604,-0.0010701329447329044,0.4248180389404297,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
8080,40,pixel,Q90-100,131072,0.0472235344350338,0.04884743690490723,-0.001623898046091199,0.4613189697265625,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
8080,40,pixel,ALL,1310720,0.014843168668448925,0.0158556941896677,-0.0010125242406502366,0.3821609616279602,0.011390584520995617,0.029697610065340996,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
8080,40,stat_grad_var_w5,Q0-50,625000,8.278033783426508e-05,9.730426972964779e-05,-1.452391552447807e-05,0.4037328064441681,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
8080,40,stat_grad_var_w5,Q50-90,500000,0.00048131486983038485,0.0005315198213793337,-5.0204987928736955e-05,0.3762359917163849,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
8080,40,stat_grad_var_w5,Q90-100,125000,0.0021235141903162003,0.0022871920373290777,-0.0001636782253626734,0.41019201278686523,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
8080,40,stat_grad_var_w5,ALL,1250000,0.00044626754242926836,0.0004899792838841677,-4.3711774196708575e-05,0.39337998628616333,0.0002213186235167086,0.001019024639390409,fixed teacher error (같은 Teacher·같은 평가셋 → run 간 bin 경계 동일)
