run_id,server,sensor,role,reference_id,teacher_seed,student_seed,input,width,depth,profile,tier,block,queue_rank,within_block_order,branch_condition,dependencies,teacher_run_id,updates,baseline_id_preserved,case_id,campaign,sheet_tab,status,contract_path
QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82010_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82010,PLH,104,122,BASE,TIME_RESERVE,s1_RESERVE_01,100,1,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1"", ""RESERVE_ADMISSION_s1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,False,QG40-C011,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82010_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82011_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82011,PLH,104,122,BASE,TIME_RESERVE,s1_RESERVE_01,100,2,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1"", ""RESERVE_ADMISSION_s1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,False,QG40-C012,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82011_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82016_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82016,PLH,104,122,BASE,TIME_RESERVE,s1_RESERVE_02,101,1,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1"", ""RESERVE_ADMISSION_s1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,False,QG40-C013,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82016_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82017_BASE_FRESH50_v1,s1,QB,Student,QB_TB,81002,82017,PLH,104,122,BASE,TIME_RESERVE,s1_RESERVE_02,101,2,ALWAYS,"[""LOCAL_READY_s1"", ""QG40_QB_TB_CAL_v1"", ""RESERVE_ADMISSION_s1""]",QGBASE_QB_TB_P0_W112_D123_TS81002_FRESH50_v1,50000,False,QG40-C014,PANDA_QG40_20260920_v1,QB-s1,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TB_TS81002_SS82017_BASE_FRESH50_v1.json
QGBASE_QB_S_PLH_W104_D122_TA_TS81001_SS82003_BASE_FRESH50_v1,s2,QB,Student,QB_TA,81001,82003,PLH,104,122,BASE,P0_BASELINE,s2_BASE_01,30,1,ALWAYS,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,True,QG40-C015,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QGBASE_QB_S_PLH_W104_D122_TA_TS81001_SS82003_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_BASE_FRESH50_v1,s2,QB,Student,QB_TA,81001,82006,PLH,104,122,BASE,P1_SCREEN_BASE,s2_SCREEN_82006,50,1,ALWAYS,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C016,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_A24R_FRESH50_v1,s2,QB,Student,QB_TA,81001,82006,PLH,104,122,A24R,P1_SCREEN_ALT,s2_SCREEN_82006,50,2,SCREEN_s2_EQ_A24R,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1"", ""BRANCH_RECEIPT_s2""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C017,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_A24R_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_B20_FRESH50_v1,s2,QB,Student,QB_TA,81001,82006,PLH,104,122,B20,P1_SCREEN_ALT,s2_SCREEN_82006,50,2,SCREEN_s2_EQ_B20,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1"", ""BRANCH_RECEIPT_s2""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C018,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_B20_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_E10_FRESH50_v1,s2,QB,Student,QB_TA,81001,82006,PLH,104,122,E10,P1_SCREEN_ALT,s2_SCREEN_82006,50,2,SCREEN_s2_EQ_E10,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1"", ""BRANCH_RECEIPT_s2""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C019,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82006_E10_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82007_A24R_FRESH50_v1,s2,QB,Student,QB_TA,81001,82007,PLH,104,122,A24R,P1_SCREEN_ALT,s2_SCREEN_82007,51,1,SCREEN_s2_EQ_A24R,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1"", ""BRANCH_RECEIPT_s2""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C020,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82007_A24R_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82007_B20_FRESH50_v1,s2,QB,Student,QB_TA,81001,82007,PLH,104,122,B20,P1_SCREEN_ALT,s2_SCREEN_82007,51,1,SCREEN_s2_EQ_B20,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1"", ""BRANCH_RECEIPT_s2""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C021,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82007_B20_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82007_E10_FRESH50_v1,s2,QB,Student,QB_TA,81001,82007,PLH,104,122,E10,P1_SCREEN_ALT,s2_SCREEN_82007,51,1,SCREEN_s2_EQ_E10,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1"", ""BRANCH_RECEIPT_s2""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C022,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82007_E10_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82007_BASE_FRESH50_v1,s2,QB,Student,QB_TA,81001,82007,PLH,104,122,BASE,P1_SCREEN_BASE,s2_SCREEN_82007,51,2,ALWAYS,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C023,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82007_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82012_BASE_FRESH50_v1,s2,QB,Student,QB_TA,81001,82012,PLH,104,122,BASE,P1_CONFIRM_BASE,s2_CONFIRM_82012,70,1,ALWAYS,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C024,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82012_BASE_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82012_A24R_FRESH50_v1,s2,QB,Student,QB_TA,81001,82012,PLH,104,122,A24R,P1_CONFIRM_ALT,s2_CONFIRM_82012,70,2,CONFIRM_s2_EQ_A24R,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1"", ""BRANCH_RECEIPT_s2""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C025,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82012_A24R_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82012_B20_FRESH50_v1,s2,QB,Student,QB_TA,81001,82012,PLH,104,122,B20,P1_CONFIRM_ALT,s2_CONFIRM_82012,70,2,CONFIRM_s2_EQ_B20,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1"", ""BRANCH_RECEIPT_s2""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C026,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82012_B20_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82012_E10_FRESH50_v1,s2,QB,Student,QB_TA,81001,82012,PLH,104,122,E10,P1_CONFIRM_ALT,s2_CONFIRM_82012,70,2,CONFIRM_s2_EQ_E10,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1"", ""BRANCH_RECEIPT_s2""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C027,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82012_E10_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82013_A24R_FRESH50_v1,s2,QB,Student,QB_TA,81001,82013,PLH,104,122,A24R,P1_CONFIRM_ALT,s2_CONFIRM_82013,71,1,CONFIRM_s2_EQ_A24R,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1"", ""BRANCH_RECEIPT_s2""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C028,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82013_A24R_FRESH50_v1.json
QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82013_B20_FRESH50_v1,s2,QB,Student,QB_TA,81001,82013,PLH,104,122,B20,P1_CONFIRM_ALT,s2_CONFIRM_82013,71,1,CONFIRM_s2_EQ_B20,"[""LOCAL_READY_s2"", ""QG40_QB_TA_IMPORT_s2_v1"", ""BRANCH_RECEIPT_s2""]",QGBASE_QB_TA_P0_W112_D123_TS81001_FRESH50_v1,50000,False,QG40-C029,PANDA_QG40_20260920_v1,QB-s2,DEFINED_NOT_DEPLOYED,definitions/QG40_QB_S_PLH_W104_D122_TA_TS81001_SS82013_B20_FRESH50_v1.json
