sheet,row,run,role,case,profile,teacher_seed,student_seed,teacher_updates,horizon,selection,step,HQNR,ERGAS,D_lambda,D_s,signed_Ds_positive_fraction,checkpoint_sha256
GF2-s3(5090),37,L100I1_GF2_S_S3_R100_TS94001_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S04,BASE,94001,95002,100000,100000,MID50_OF100,50000,0.9527724985603243,0.5631655372760755,0.020568829670486087,0.02719227224750569,1,d71dab6d6d9597d16b764d495ca6f2ce205c25efa9763a329e1d2300f65e9db5
GF2-s3(5090),37,L100I1_GF2_S_S3_R100_TS94001_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S04,BASE,94001,95002,100000,100000,E_MIN_DIAG,98980,0.9559357605521172,0.5514702460545164,0.020636362399796205,0.02389726768424192,1,4ac769c78562da28984af3ecb66205d6408fa8c117fe21dab58da84ce68821d9
GF2-s4,14,L100I1_GF2_S_S4_R100_TS94002_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S07,BASE,94002,95001,100000,100000,EXACT_FINAL,100000,0.9534832726456195,0.5527044244202092,0.020264526944771877,0.026773142987863846,1,6f2458ccad0100ec977521d9ae545e134bce23f1964f57dd61a7fce657bc3fd8
GF2-s4,14,L100I1_GF2_S_S4_R100_TS94002_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S07,BASE,94002,95001,100000,100000,RR_VAL_SELECTED,98980,0.9534572821283946,0.5527411622822531,0.020269637584609895,0.026794630833211663,1,094be0610491842d72eac518407aded7f1c91ab28f6345bceebebc7662148365
GF2-s4,14,L100I1_GF2_S_S4_R100_TS94002_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S07,BASE,94002,95001,100000,100000,RAW_MAX,74740,0.9537009421691088,0.5579891692273071,0.020232381561593217,0.026582213769210078,1,f62dca2b0f986db587c2a8079dfe121786206479f73967f7f516631391ed6def
GF2-s4,14,L100I1_GF2_S_S4_R100_TS94002_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S07,BASE,94002,95001,100000,100000,MID50_OF100,50000,0.9527043116033334,0.5724019184154169,0.020630026550319924,0.02719967548004571,1,3604f44b4ce9393bdcb4670ff81cec301e8d4bff33bf52539b2da414bd52016f
GF2-s4,14,L100I1_GF2_S_S4_R100_TS94002_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S07,BASE,94002,95001,100000,100000,E_MIN_DIAG,66660,0.9526442010413183,0.5493334952206901,0.020689185504171915,0.02720241083822144,1,4360717c8b86ab2b0de0f5984ab19459d2d0bfa121838d9cc1997c09add6df18
GF2-s4,15,L100I1_GF2_S_S4_R100_TS94002_SS95001_H010_PLH_W104_D122_FRESH100K_v2,S,L100I1-S08,H010,94002,95001,100000,100000,EXACT_FINAL,100000,0.9536595553795489,0.5442843598694014,0.019449738680202278,0.027401087037662968,1,0d73d6f24caf2d7dd09b653cb250a7b9c4f2c8abdcf4a30d87e8c2e340438256
GF2-s4,15,L100I1_GF2_S_S4_R100_TS94002_SS95001_H010_PLH_W104_D122_FRESH100K_v2,S,L100I1-S08,H010,94002,95001,100000,100000,RR_VAL_SELECTED,98980,0.953624869083057,0.5442658152031326,0.01945340211802407,0.027432905673872555,1,4c4cf37efb37e486fb930f0e7c68fcc17fb072fbd7ea0186c4a3749ae43f7c1e
GF2-s4,15,L100I1_GF2_S_S4_R100_TS94002_SS95001_H010_PLH_W104_D122_FRESH100K_v2,S,L100I1-S08,H010,94002,95001,100000,100000,RAW_MAX,78780,0.9543967932877783,0.5442889212579196,0.019397993584463917,0.02669913884342361,0.9875,e22c1797cc45569362ffa421028c38ba40c671b261c3b7e7446d264c185a7671
GF2-s4,15,L100I1_GF2_S_S4_R100_TS94002_SS95001_H010_PLH_W104_D122_FRESH100K_v2,S,L100I1-S08,H010,94002,95001,100000,100000,MID50_OF100,50000,0.9493600800830168,0.5599601159892998,0.019821737070427614,0.03141047428782372,1,e9f4ee255427b486064bf2799dcd680d35db0e1e3f6d5391b370e4afae1a5192
GF2-s4,15,L100I1_GF2_S_S4_R100_TS94002_SS95001_H010_PLH_W104_D122_FRESH100K_v2,S,L100I1-S08,H010,94002,95001,100000,100000,E_MIN_DIAG,80800,0.9534033037908667,0.5426196172762351,0.01940419863655028,0.027705030900431395,1,f7616180243e132cd1bcac8b1c7718d4d20599baaba84ccecd2e040ec23d437e
GF2-s4,16,L100I1_GF2_S_S4_R100_TS94002_SS95002_H010_PLH_W104_D122_FRESH100K_v2,S,L100I1-S09,H010,94002,95002,100000,100000,EXACT_FINAL,100000,0.9466692813140247,0.5462692540388054,0.02006313770074966,0.033919377723730014,1,8112d31cba6b6eec0f06152f9f9e2c9287475a7a17a32cc54319c9c049850ffe
GF2-s4,16,L100I1_GF2_S_S4_R100_TS94002_SS95002_H010_PLH_W104_D122_FRESH100K_v2,S,L100I1-S09,H010,94002,95002,100000,100000,RR_VAL_SELECTED,98980,0.9466546567813661,0.5461666076706925,0.02006181735480897,0.0339356012289951,1,7915472a2442f9bd3b533932bc1927aee06eb445aa3f22dbe9d606a07a32f3d7
GF2-s4,16,L100I1_GF2_S_S4_R100_TS94002_SS95002_H010_PLH_W104_D122_FRESH100K_v2,S,L100I1-S09,H010,94002,95002,100000,100000,RAW_MAX,88880,0.9468713474971435,0.5491747749674176,0.02006849323464548,0.03370786868655412,1,b7227a4f110025c64d9c3b7d28ee5f683c73dd635891f295917ed12de87a1121
