code,axis,value,alpha,beta,lambda_E,input_layout,width,depth,teacher_alias,teacher_seed,teacher_sha
BASE,baseline,,1,0.1,0.002,PLH,104,"[1,2,2]",F1,71001,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519
AL05,alpha,0.5,0.5,0.1,0.002,PLH,104,"[1,2,2]",F1,71001,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519
AL15,alpha,1.5,1.5,0.1,0.002,PLH,104,"[1,2,2]",F1,71001,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519
BE005,beta,0.05,1,0.05,0.002,PLH,104,"[1,2,2]",F1,71001,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519
BE020,beta,0.2,1,0.2,0.002,PLH,104,"[1,2,2]",F1,71001,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519
ED0006,lambda_E,0.0006,1,0.1,0.0006,PLH,104,"[1,2,2]",F1,71001,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519
ED006,lambda_E,0.006,1,0.1,0.006,PLH,104,"[1,2,2]",F1,71001,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519
